English	Spanish
AHRQ	Agencia para la Investigación y la Calidad del Cuidado de la Salud
airspace opacity	opacidad del espacio aéreo
alanine aminotransferase	alanina-aminotransferasa
albendazole	albendazol
alcohol by volume	alcohol por volumen (ABV)
Alcohol by Volume (ABV)	alcohol por volumen (ABV)
alcohol by volume (ABV)	alcohol por volumen (ABV)
aldrin	aldrina
alkyl dimethyl benzyl ammonium chloride	cloruro de alquilbenzildimetilamonio
allergen	alérgeno
allogeneic	alógeno
allopurinol	alopurinol
alpha thalassemia	talasemia alfa
alpha-1-acid glycoprotein	alfa-1-glucoproteína ácida
alpha-1-antitrypsin deficiency	deficiencia de alfa-1 antitripsina
Alpha-gal syndrome	síndrome de alfa-gal
alpha-thalassemia	talasemia alfa
alphavirus	alfavirus
ALS	ELA
alum	alumbre
amblyopia (lazy eye)	ambliopía (ojo perezoso)
American Community Survey	Encuesta sobre la Comunidad Estadounidense
American Academy of Family Physicians	Academia Estadounidense de Médicos de Familia
American Academy of Ophthalmology	Academia Americana de Oftalmología
American Academy of Orthopedic Surgeons	Academia Estadounidense de Cirujanos Ortopédicos
American Academy of Pediatrics	Academia Estadounidense de Pediatría
American Association of Avian Pathologists	Asociación Estadounidense de Patólogos Aviarios
American Association of Poison Control Centers	Asociación Estadounidense de Centros de Control de Intoxicaciones y Envenenamientos
American Cancer Society	Sociedad Americana contra el Cáncer
American Civil Liberties Union	Unión Americana de Libertades Civiles
American College of Allergy, Asthma, and Immunology	Colegio Estadounidense de Alergias, Asma e Inmunología
American College of Gastroenterology	Colegio Americano de Gastroenterología
American College of Nurse-Midwives	Colegio Estadounidense de Enfermeras Parteras
American College of Obstetricians and Gynecologists	Colegio Estadounidense de Obstetras y Ginecólogos
American College of Physicians	Colegio Estadounidense de Médicos
American Conference of Governmental Industrial Hygienists	Conferencia Estadounidense de Higienistas Industriales del Gobierno
American Diabetes Association	Asociación Americana de la Diabetes
American dog tick	garrapata americana del perro
American Gastroenterological Association	Asociación Estadounidense de Gastroenterología
American Heart Association	Asociación Americana del Corazón
American Hospital Association	Asociación Hospitalaria Estadounidense
American Indian	indígena de los EE. UU.
	indígena de los Estados Unidos
American Institutes for Research	Institutos Estadounidenses para la Investigación
American Lung Association	Asociación Estadounidense del Pulmón
American National Standards Institute	Instituto Estadounidense de Estándares Nacionales
American Recovery and Reinvestment Act	Ley de Recuperación y Reinversión Estadounidense
American Sign Language	lenguaje de señas americano
American Society for Gastrointestinal Endoscopy	Sociedad Americana para Endoscopia Gastrointestinal
American Society for Microbiology	Sociedad Estadounidense de Microbiología
American Society of Health-System Pharmacists	Sociedad Estadounidense de Farmacéuticos de Sistemas de Salud
American Society of Heating, Refrigerating and Air-Conditioning Engineers	Sociedad Americana de Ingenieros de Calefacción, Refrigeración y Aire Acondicionado
American Speech-Language-Hearing Association	Asociación Estadounidense del Habla, Lenguaje y Audición
American trypanosomiasis	tripanosomiasis americana
American Veterinary Medical Association	Asociación Estadounidense de Medicina Veterinaria
americans	personas en los Estados Unidos
Americans with Disabilities Act	Ley sobre Estadounidenses con Discapacidades
amikacin	amikacina
aminoglycoside	aminoglucósido
amniorhexis	amniorrexis
amniotic band syndrome	síndrome de las bridas amnióticas
amoxicillin and clavulanic acid	amoxicilina y ácido clavulánico
amoxicillin/clavulanic acid	amoxicilina con ácido clavulánico
amoxicillin+clavulanic acid	amoxicilina con ácido clavulánico
amoxicillin-clavulanic acid	amoxicilina con ácido clavulánico
amphotericin	anfotericina
amphotericin B	anfotericina B
ampicillin	ampicilina
AMR Challenge	Desafío contra la Resistencia a los Antimicrobianos (llamado en inglés "AMR Challenge")
	Desafío contra la Resistencia a los Antimicrobianos
AMR Industry Alliance	Alianza Industrial contra la Resistencia a los Antimicrobianos
	Alianza Industrial contra la Resistencia a los Antimicrobianos (AMR Industry Alliance)
amyotrophic lateral sclerosis	esclerosis lateral amiotrófica
anaerobic	anaerobio
analytic epidemiology	epidemiología analítica
anaphylactic shock	choque anafiláctico
anencephaly	anencefalia
Angiostrongyliasis	angiostrongiliasis
angiostrongyliasis	angiostrongiliasis
anidulafungin	anidulafungina
animal agriculture	ganadería
Animal and Plant Health Inspection Service	Servicio de Inspección Sanitaria de Animales y Plantas
ankylosing spondylitis	espondilitis anquilosante
anophthalmia	anoftalmía
anotia	anotia
anoxia	anoxia
ANSI	Instituto Estadounidense de Estándares Nacionales
anterior diaphragmatic defect	defecto diafragmático anterior
anthracite	antracita
anthrax	ántrax maligno (carbunco)
antiarrhythmic	antiarrítmico
Antibiotic Resistance (AR) Lab Network	Red de Laboratorios de Detección de Resistencia a los Antibióticos
Antibiotic Resistance Action Center	Centro de Acción contra la Resistencia a los Antibióticos
Antibiotic Resistance Lab Network	Red de Laboratorios de Detección de Resistencia a los Antibióticos
Antibiotic Resistance Laboratory Network	Red de Laboratorios de Detección de Resistencia a los Antibióticos
Antibiotic Resistance Solutions Initiative	Iniciativa de Soluciones para la Resistencia a los Antibióticos
antibiotic sensitivity test	antibiograma
antibiotic stewardship	optimización del uso de antibióticos
Antibiotic Stewardship Program	Programa de Optimización del Uso de Antibióticos
	Programa de Optimización del Uso de Antibióticos (PROA)
antibiotic stewardship program	Programa de Optimización del Uso de Antibióticos
	Programa de Optimización del Uso de Antibióticos (PROA)
antibiotic susceptibility testing	análisis de sensibilidad a los antibióticos
antibody	anticuerpo
antibody test	prueba de anticuerpos
antifibrinolytic	antifibrinolítico
antigen	antígeno
antigen test	prueba de antígenos
antihistamines	antihistamínicos
antimicrobial resistance	resistencia a los antimicrobianos
	resistencia microbiana
antimicrobian resistance	resistencia a los antimicrobianos
	resistencia microbiana
antimony	antimonio
antiretroviral therapy	terapia antirretroviral
Anti-TNF medications	medicamentos anti-FNT
antiviral drugs	medicamentos antivirales
anxiety	ansiedad
anxiety disorder	trastorno de ansiedad
APHL	Asociación de Laboratorios de Salud Pública
APIC	Asociación de Profesionales en Control de Infecciones y Epidemiología
AR Lab Network	Red de Laboratorios de Detección de Resistencia a los Antibióticos
arborist	arborista
Arboviral Diseases Branch	Subdivisión de Enfermedades Arbovirales
area map	mapa de área
	mapa de coropletas
arenaviruses	arenavirus
ARRA	Ley de Recuperación y Reinversión Estadounidense
ART	TARV
arterial blood gas	gasometría arterial
arterial carbon dioxide pressure	presión arterial de dióxido de carbono
arthralgia	artralgia
arthrogryposis multiplex congenita	artrogriposis múltiple congénita
asbestosis	asbestosis
Ascaris	Ascaris
ASH Media Office	Oficina para los Medios de Comunicación del Subsecretario de Salud (ASH)
Asian Indian	indio
	indio (de la India)
aspergilloma	aspergiloma
aspergillosis	aspergilosis
aspiration pneumonia	neumonía por aspiración
ASQ	Cuestionario de Edades y Etapas
assisted living facilities	centros de vida asistida (assisted living facilities)
Association for Professionals in Infection Control and Epidemiology	Asociación de Profesionales en Control de Infecciones y Epidemiología
Association of Diabetes Care & Education Specialists	Asociación de Especialistas en Educación y Cuidado de la Diabetes
Association of Occupational and Environmental Clinics	Asociación de Clínicas Ocupacionales y Ambientales
Association of Public Health Laboratories	Asociación de Laboratorios de Salud Pública
Association of State and Territorial Health Officials	Asociación de Funcionarios de Salud Estatales y Territoriales
asthma	asma
ASTHO	Asociación de Funcionarios de Salud Estatales y Territoriales
astigmatism	astigmatismo
asymptomatic	asintomático
	sin síntomas
	no tiene síntomas
See: asymptomatic	asintomático
	sin síntomas
	no tiene síntomas
asymptomatic (person)	persona asintomática
ataxia	ataxia
athetoid	atetoide
At-Home COVID-19 Tests	pruebas de COVID-19 para hacerse en casa
at-home COVID-19 tests	pruebas de COVID-19 para hacerse en casa
At-home tests	pruebas para hacerse en casa
at-home tests	pruebas para hacerse en casa
atrazine	atracina
atresia	atresia
atresia choanae	atresia de coanas
atrial fibrillation	fibrilación auricular
atrial septal defect	comunicación interauricular
atrioventricular septal defect	comunicación auriculoventricular
at-risk	en riesgo
atropine	atropina
ATSDR Partnership to Promote Localized Efforts to Reduce Environmental Exposure	Asociación de la ATSDR para Promover las Iniciativas Localizadas de Reducción de las Exposiciones Ambientales
attention deficit hyperactivity disorder	trastorno por déficit de atención e hiperactividad
atypical hemolytic uremic syndrome	síndrome urémico hemolítico atípico (SUHa)
atypical hemolytic uremic syndrome (aHUS)	síndrome urémico hemolítico atípico (SUHa)
Atypical Hemolytic Uremic Syndrome (aHUS)	síndrome urémico hemolítico atípico (SUHa)
audiometric screening	evaluación audiométrica
authorized vaccines	vacunas autorizadas
Autism and Developmental Disabilities Monitoring (ADDM) Network	Red de Vigilancia del Autismo y las Discapacidades del Desarrollo (ADDM)
Autism and Developmental Disabilities Monitoring Network	Red de Vigilancia del Autismo y las Discapacidades del Desarrollo (ADDM)
autism spectrum disorder	trastorno del espectro autista
	trastornos del espectro autista
autism spectrum disorders	trastorno del espectro autista
	trastornos del espectro autista
autoclave	autoclave
autoinoculation	autoinoculación
automated external defibrillator	desfibrilador externo automático
autosomal dominant condition	afección autosómica dominante
avibactam	avibactam
azinphos methyl	azinfos metil
azithromycin	azitromicina
azlocillin	azlocilina
aztreonam	aztreonam
